DonorKey,Donor Name,Country,Region,Age Band,Acquisition Date,Acquisition ChannelKey,Donor Type,Consent Status
6147,Clare Lewis,FI,Uusimaa,18-29,2025-04-19,4,Individual,Full
6148,Nigel Lamb,NO,Oslo,60-74,2022-05-22,2,Individual,Email only
6149,Ms Lynne Marshall,SE,Västra Götaland,30-44,2023-07-11,1,Corporate,Full
6150,Rosemary Archer,SE,Västra Götaland,30-44,2022-07-19,4,Individual,Full
6151,Mr Brett Reynolds,FI,Varsinais-Suomi,60-74,2024-08-27,1,Individual,Full
6152,James Bevan,DK,Midtjylland,18-29,2024-05-16,6,Individual,Full
6153,Kim Johnson-Jackson,SE,Skåne,45-59,2024-10-31,4,Individual,Email only
6154,Dr Antony Gill,SE,Stockholm,60-74,2023-03-18,4,Individual,Full
6155,Claire Ali,FI,Varsinais-Suomi,18-29,2025-12-27,2,Individual,Full
6156,Mrs Wendy Anderson,DK,Hovedstaden,45-59,2022-10-27,1,Individual,Post only
6157,Sophie Carroll,FI,Varsinais-Suomi,45-59,2025-08-31,1,Individual,Full
6158,Ms Jean Wood,FI,Pohjois-Pohjanmaa,30-44,2024-07-24,2,Individual,Email only
6159,Dr Billy Price,FI,Pohjois-Pohjanmaa,45-59,2024-05-23,3,Individual,Full
6160,Glen Turner,FI,Pohjois-Pohjanmaa,75+,2024-11-04,1,Individual,Email only
6161,Tom Powell,FI,Uusimaa,75+,2024-10-17,2,Individual,Full
6162,Colin Stevens,FI,Varsinais-Suomi,45-59,2022-06-07,4,Individual,Email only
6163,Jacqueline Jenkins,SE,Stockholm,60-74,2024-12-20,1,Individual,Email only
6164,Hugh Collins,SE,Västra Götaland,45-59,2022-05-17,2,Individual,Full
6165,Jacob Baker,DK,Hovedstaden,30-44,2023-05-31,2,Individual,Post only
6166,Nigel Gardner-Curtis,DK,Syddanmark,18-29,2022-05-01,1,Individual,Full
6167,Lorraine Taylor,DK,Hovedstaden,60-74,2024-03-28,7,Individual,Full
6168,Roy Harding,NO,Trøndelag,45-59,2022-09-09,2,Individual,Full
6169,Gary Harrison-Brown,NO,Trøndelag,45-59,2022-08-29,1,Individual,Full
6170,Leslie Green,FI,Varsinais-Suomi,30-44,2024-12-14,2,Individual,Email only
6171,Francis Cooke,NO,Trøndelag,60-74,2024-12-29,5,Individual,Full
6172,James Ford,FI,Varsinais-Suomi,18-29,2025-03-22,1,Individual,Full
6173,Mr Marcus White,SE,Västra Götaland,45-59,2023-07-03,1,Individual,Post only
6174,Mr Danny Saunders,SE,Västra Götaland,45-59,2023-05-16,1,Individual,Full
6175,Graeme Chadwick,FI,Varsinais-Suomi,30-44,2023-02-26,1,Individual,Email only
6176,Beth Ashton,NO,Trøndelag,30-44,2025-06-22,2,Individual,Email only
6177,Eileen Holland,SE,Uppsala,45-59,2022-03-15,4,Individual,Full
6178,Bruce Singh,SE,Skåne,75+,2025-12-24,1,Individual,Full
6179,Conor Williams,SE,Västra Götaland,45-59,2022-01-03,1,Individual,Full
6180,Mary Stephens,SE,Uppsala,30-44,2024-07-03,2,Individual,Email only
6181,Mrs Amelia Connolly,FI,Pirkanmaa,30-44,2025-10-18,2,Individual,Email only
6182,Joseph Smith,NO,Oslo,30-44,2022-12-26,1,Individual,Full
6183,Maurice Allen,FI,Pirkanmaa,60-74,2024-03-23,2,Individual,Full
6184,Lynn Robinson,FI,Pohjois-Pohjanmaa,30-44,2024-04-01,1,Individual,Full
6185,Gerald Read,FI,Uusimaa,45-59,2022-04-29,2,Individual,Full
6186,Kate Parsons,FI,Pirkanmaa,45-59,2024-06-19,4,Individual,Full
6187,Jodie Rees,FI,Pohjois-Pohjanmaa,18-29,2024-12-29,1,Individual,Full
6188,Mr Trevor Lee,FI,Uusimaa,18-29,2024-09-19,1,Individual,Full
6189,George Ellis,FI,Varsinais-Suomi,18-29,2022-09-24,1,Individual,Post only
6190,Ms Stacey Allen,FI,Pirkanmaa,45-59,2024-06-21,5,Corporate,Full
6191,Ian Ellis,,Uppsala,30-44,2022-09-12,1,Individual,Email only
6192,Gillian Brown,NO,Trøndelag,30-44,2025-02-11,1,Corporate,Full
6193,Ms Melissa Walters,FI,Varsinais-Suomi,30-44,2025-10-28,3,Individual,Full
6194,Mr Gerard Turner,NO,Rogaland,60-74,2023-09-11,1,Individual,Post only
6195,Dr Lewis Walker,NO,Rogaland,18-29,2022-03-30,4,Individual,Full
6196,Julian Brown,FI,Varsinais-Suomi,45-59,2023-08-11,1,Individual,Full
6197,Jason Hughes,FI,Pohjois-Pohjanmaa,30-44,2024-12-12,1,Individual,Full
6198,Mohammad Hawkins,,Pohjois-Pohjanmaa,30-44,2024-12-07,1,Individual,Full
6199,Leslie Miles,FI,Pirkanmaa,45-59,2025-11-19,4,Individual,Full
6200,Glenn Cook,FI,Pirkanmaa,45-59,2022-10-24,1,Individual,Full
6201,Beth Sanders,SE,Uppsala,30-44,2024-10-10,1,Individual,Full
6202,Sian Williams,DK,Sjælland,60-74,2023-06-13,2,Individual,Full
6203,Katy Warren-Hussain,DK,Sjælland,30-44,2023-02-08,2,Individual,Post only
6204,Glen Owens,SE,Västra Götaland,18-29,2023-05-27,2,Individual,Full
6205,Ross Bailey,FI,Uusimaa,30-44,2023-02-22,2,Individual,Full
6206,Lee Hanson,SE,Stockholm,60-74,2023-08-02,5,Individual,Full
6207,Kyle Williams,NO,Oslo,60-74,2025-12-16,1,Individual,Email only
6208,Ms Alison Parker,SE,Skåne,30-44,2023-06-25,2,Individual,Full
6209,Gail Clarke-Morris,FI,Pirkanmaa,45-59,2022-12-07,1,Individual,Full
6210,Russell Bevan-Porter,FI,Pohjois-Pohjanmaa,30-44,2023-11-14,1,Individual,Full
6211,Glen Brown,SE,Västra Götaland,45-59,2023-04-06,4,Individual,Full
6212,Darren Chapman-Morgan,SE,Uppsala,30-44,2025-09-09,2,Individual,Full
6213,Alex Richardson,FI,Uusimaa,30-44,2025-04-28,1,Individual,Email only
6214,Connor Welch,FI,Pohjois-Pohjanmaa,30-44,2022-06-15,6,Corporate,Full
6215,Ms Grace Thompson,SE,Uppsala,45-59,2022-12-29,2,Individual,Full
6216,Maria Bartlett,NO,Trøndelag,60-74,2023-01-24,7,Individual,Email only
6217,Dr Natasha Yates,FI,Pirkanmaa,60-74,2024-08-31,2,Individual,Full
6218,Mohammed Freeman,NO,Rogaland,60-74,2022-11-07,5,Individual,Full
6219,Marc Campbell,NO,Vestland,18-29,2024-11-24,1,Individual,Full
6220,Donna Murphy,FI,Pohjois-Pohjanmaa,45-59,2025-01-19,1,Individual,Full
6221,Fiona Cartwright,FI,Pohjois-Pohjanmaa,60-74,2023-10-10,2,Individual,Full
6222,Mr Vincent Martin,NO,Vestland,45-59,2025-09-15,1,Individual,Full
6223,Gail Pritchard,SE,Västra Götaland,30-44,2024-08-20,1,Individual,Full
6224,Mr Daniel McKenzie,FI,Uusimaa,45-59,2023-09-11,2,Individual,Email only
6225,Dr Arthur Scott,FI,Pohjois-Pohjanmaa,18-29,2022-12-21,1,Individual,Post only
6226,Brenda Bibi-Smith,FI,Pirkanmaa,75+,2025-07-24,3,Individual,Full
6227,Mr Bernard Payne,SE,Skåne,75+,2023-12-07,2,Individual,Full
6228,Maureen Davis-Hobbs,NO,Rogaland,45-59,2023-01-04,1,Individual,Full
6229,Sophie Bennett-Thompson,SE,Skåne,30-44,2024-12-04,2,Individual,Full
6230,Dr Martin O'Brien,FI,Pohjois-Pohjanmaa,75+,2022-05-07,1,Individual,Full
6231,Ricky Richardson,SE,Västra Götaland,45-59,2024-06-19,3,Individual,Email only
6232,Hannah Baxter,FI,Pohjois-Pohjanmaa,30-44,2022-12-30,4,Individual,Full
6233,Eleanor Hooper,FI,Pirkanmaa,30-44,2025-05-05,4,Individual,Email only
6234,Rita Hammond,FI,Uusimaa,45-59,2022-07-07,1,Individual,Full
6235,Jeffrey Bailey,FI,Uusimaa,75+,2024-06-01,2,Individual,Full
6236,Dr Louise Fisher,NO,Vestland,60-74,2023-07-01,1,Individual,Full
6237,Dr Donald Wilson,FI,Pohjois-Pohjanmaa,60-74,2024-11-14,2,Individual,Full
6238,Julia Hill-Grant,SE,Stockholm,60-74,2023-11-04,4,Individual,Full
6239,Ms Laura Richardson,SE,Uppsala,18-29,2023-12-16,1,Trust,Full
6240,Barbara Blackburn,NO,Trøndelag,18-29,2022-05-28,2,Individual,Email only
6241,Gary Barrett,SE,Uppsala,75+,2023-12-29,1,Individual,Email only
6242,Mr Bruce Stokes,FI,Pohjois-Pohjanmaa,45-59,2022-08-25,6,Individual,Post only
6243,Mr Mark Ellis,SE,Uppsala,45-59,2025-09-13,2,Individual,Full
6244,Helen Dixon,NO,Vestland,30-44,2023-12-29,4,Individual,Full
6245,Simon Bailey,FI,Varsinais-Suomi,60-74,2025-02-06,3,Individual,Email only
6246,Christine Newton,FI,Pohjois-Pohjanmaa,30-44,2025-12-07,2,Individual,Full
6247,Dr Bernard Smith,SE,Stockholm,75+,2025-12-20,2,Individual,Full
6248,Mr Roger Jones,FI,Varsinais-Suomi,45-59,2022-04-30,3,Individual,Full
6249,Mr Allan Simpson,FI,Pirkanmaa,30-44,2025-09-15,1,Individual,Full
6250,Mohammad Smith,FI,Uusimaa,60-74,2023-12-28,3,Individual,Full
6251,Alice Richards,SE,Västra Götaland,18-29,2025-09-23,2,Individual,Full
6252,Elliott Wood,SE,Skåne,45-59,2024-05-04,3,Individual,Full
6253,Timothy Henderson,NO,Oslo,30-44,2024-11-10,1,Corporate,Full
6254,Dr Garry Andrews,FI,Pirkanmaa,75+,2024-06-28,1,Individual,Full
6255,Mrs Diane Middleton,NO,Vestland,30-44,2024-12-18,1,Individual,Email only
6256,Kathryn Cole-Townsend,FI,Pohjois-Pohjanmaa,75+,2024-01-21,2,Individual,Full
6257,Mathew Dawson,,Pohjois-Pohjanmaa,45-59,2025-05-26,3,Individual,Post only
6258,Graham Sykes,FI,Pirkanmaa,45-59,2025-12-08,4,Individual,Full
6259,Mr Dennis Turner,NO,Vestland,45-59,2024-10-11,1,Individual,Full
6260,Jacqueline Perry,FI,Pohjois-Pohjanmaa,18-29,2025-01-04,1,Individual,Post only
6261,Francis Robinson-Holden,FI,Varsinais-Suomi,18-29,2025-10-19,3,Individual,Email only
6262,Brenda Walsh,NO,Rogaland,60-74,2023-05-21,1,Individual,Full
6263,Graham Roberts,FI,Uusimaa,45-59,2023-10-24,1,Individual,Email only
6264,Dr Clifford Mitchell,FI,Varsinais-Suomi,30-44,2023-09-17,2,Individual,Full
6265,Fiona Wilkinson,FI,Varsinais-Suomi,45-59,2025-03-21,4,Individual,Email only
6266,Mathew Bartlett-Evans,FI,Pohjois-Pohjanmaa,75+,2023-12-05,6,Individual,Email only
6267,Mark Robinson,SE,Uppsala,60-74,2023-12-12,1,Individual,Email only
6268,Miss Jenna Harvey,FI,Uusimaa,45-59,2023-12-14,1,Individual,Email only
6269,Amelia Baker-Grant,SE,Stockholm,75+,2025-08-31,1,Individual,Full
6270,Joseph Wells,NO,Rogaland,45-59,2022-12-22,4,Individual,Email only
6271,Diane Harvey,SE,Uppsala,60-74,2024-11-11,3,Individual,Full
6272,Antony Baxter-Stokes,SE,Uppsala,30-44,2024-08-08,6,Individual,Email only
6273,Liam Richardson,SE,Skåne,60-74,2022-03-20,1,Individual,Full
6274,Jamie Austin,SE,Stockholm,45-59,2022-01-03,5,Individual,Post only
6275,Gavin Moore,SE,Västra Götaland,30-44,2024-11-29,1,Individual,Full
6276,Ms Harriet Smith,FI,Pohjois-Pohjanmaa,30-44,2025-12-23,1,Individual,Full
6277,Glenn James,SE,Uppsala,45-59,2025-03-07,2,Corporate,Email only
6278,Terry Dean,FI,Pohjois-Pohjanmaa,60-74,2023-07-26,2,Individual,Full
6279,Jill Lane-Cooper,FI,Uusimaa,45-59,2025-07-09,1,Individual,Full
6280,Dr Heather James,FI,Pirkanmaa,60-74,2023-09-15,6,Individual,Full
6281,Paula Johnson,NO,Vestland,75+,2023-12-09,6,Individual,Full
6282,Eric Payne-Bryant,SE,Uppsala,75+,2024-07-22,5,Individual,Full
6283,Amy Bell,FI,Uusimaa,45-59,2022-12-20,1,Individual,Post only
6284,Abdul Richards,FI,Pohjois-Pohjanmaa,30-44,2024-04-15,1,Individual,Full
6285,Declan Fox,FI,Pirkanmaa,60-74,2022-08-14,4,Individual,Full
6286,Charlene Taylor,NO,Trøndelag,45-59,2022-02-10,1,Individual,Full
6287,Kimberley Wood,SE,Skåne,60-74,2024-10-24,2,Individual,Full
6288,Leigh Berry,FI,Uusimaa,45-59,2024-09-02,1,Individual,Full
6289,Alexander Chandler,FI,Uusimaa,60-74,2024-03-09,1,Individual,Full
6290,Dr Rosie Hopkins,FI,Varsinais-Suomi,75+,2024-12-13,1,Trust,Full
6291,Joseph Dennis,FI,Varsinais-Suomi,18-29,2023-12-19,6,Individual,Full
6292,Melanie Cook,SE,Stockholm,45-59,2023-11-08,1,Individual,Email only
6293,Sophie Jarvis-Hobbs,NO,Oslo,30-44,2023-02-25,1,Individual,Full
6294,Paul Bennett-Bennett,SE,Uppsala,18-29,2024-12-04,2,Individual,Full
6295,Rachel Storey,NO,Oslo,30-44,2023-12-12,2,Individual,Full
6296,Tony Murphy,NO,Oslo,45-59,2023-05-26,4,Individual,Full
6297,Henry Page,DK,Syddanmark,30-44,2022-04-19,5,Individual,Full
6298,Ashley Jackson,FI,Uusimaa,45-59,2022-02-15,1,Individual,Full
6299,Miss Margaret Vaughan,SE,Uppsala,60-74,2023-12-24,4,Individual,Full
6300,Josephine Hughes,SE,Stockholm,45-59,2023-11-06,5,Individual,Full
6301,Olivia Barber,FI,Varsinais-Suomi,45-59,2023-05-29,4,Individual,Full
6302,Lee Lewis,SE,Stockholm,45-59,2025-12-28,3,Corporate,Full
6303,Ms Kimberley Smith,DK,Midtjylland,60-74,2022-12-11,4,Individual,Full
6304,Mr Oliver Simpson,NO,Trøndelag,60-74,2022-07-14,1,Individual,Full
6305,Annette Barker,NO,Oslo,30-44,2023-04-29,4,Individual,Full
6306,Ashley Rees,SE,Uppsala,45-59,2022-07-03,1,Individual,Full
6307,Brett Vaughan,DK,Hovedstaden,30-44,2023-09-22,4,Individual,Email only
6308,Pauline Harris,NO,Trøndelag,60-74,2022-12-06,2,Trust,Full
6309,Dr Donna Woods,FI,Pirkanmaa,60-74,2024-12-03,2,Individual,Full
6310,Mrs Lorraine Burgess,FI,Uusimaa,18-29,2023-12-22,1,Individual,Email only
6311,Mr Eric Khan,DK,Midtjylland,45-59,2025-06-30,2,Individual,Post only
6312,Mrs Natasha Carter,SE,Skåne,60-74,2024-10-09,2,Individual,Full
6313,Tom Hughes,SE,Västra Götaland,60-74,2024-08-28,1,Individual,Email only
6314,Miss Chloe Davies,FI,Uusimaa,60-74,2023-03-30,4,Individual,Full
6315,Jodie Butcher,FI,Pirkanmaa,60-74,2022-06-29,3,Individual,Full
6316,Terence Ellis,SE,Stockholm,60-74,2025-12-23,2,Individual,Full
6317,Mrs Abigail Turner,NO,Rogaland,30-44,2024-12-24,1,Individual,Full
6318,Alan Davies,FI,Pirkanmaa,18-29,2023-10-29,1,Individual,Full
6319,Mrs Julia Taylor,FI,Pirkanmaa,45-59,2022-04-18,2,Individual,Full
6320,Beth Evans,SE,Uppsala,75+,2024-04-10,4,Individual,Full
6321,Denis McCarthy,FI,Uusimaa,75+,2023-04-01,1,Individual,Full
6322,Janice Williams,FI,Pohjois-Pohjanmaa,75+,2025-07-21,1,Individual,Full
6323,Ruth Harper,SE,Uppsala,30-44,2025-10-21,3,Individual,Full
6324,Carolyn Griffiths,FI,Uusimaa,30-44,2025-10-25,4,Corporate,Full
6325,Jennifer Taylor,FI,Uusimaa,45-59,2024-12-21,2,Individual,Full
6326,Mr Joel Porter,NO,Oslo,45-59,2025-10-27,5,Individual,Full
6327,Charles Carter-Harris,NO,Trøndelag,45-59,2023-09-17,6,Individual,Full
6328,Molly Grant,FI,Pohjois-Pohjanmaa,18-29,2025-04-09,1,Individual,Full
6329,Mr Glen Weston,DK,Syddanmark,60-74,2022-05-11,1,Individual,Full
6330,Ruth Brown,NO,Vestland,45-59,2024-12-21,1,Individual,Full
6331,Miss Rachel Schofield,FI,Varsinais-Suomi,60-74,2025-04-21,6,Individual,Post only
6332,Jane Foster,DK,Midtjylland,60-74,2023-12-14,1,Corporate,Full
6333,Hilary Lambert,FI,Pohjois-Pohjanmaa,45-59,2025-04-17,1,Individual,Full
6334,Michael Bell-Walters,FI,Varsinais-Suomi,45-59,2024-02-28,5,Individual,Full
6335,Justin Gilbert,SE,Västra Götaland,18-29,2024-05-29,4,Corporate,Full
6336,Stanley Fraser,NO,Vestland,45-59,2025-05-29,1,Individual,Full
6337,Mohamed Clarke,,Syddanmark,60-74,2022-12-27,1,Individual,Full
6338,Andrew Farmer,FI,Uusimaa,45-59,2022-10-08,1,Individual,Full
6339,Terry Cooper,NO,Trøndelag,75+,2023-03-30,1,Individual,Full
6340,Dr James Bruce,SE,Uppsala,60-74,2022-12-10,5,Individual,Full
6341,Joanna Shaw,FI,Varsinais-Suomi,75+,2022-03-03,3,Individual,Full
6342,Mr Robin Roberts,NO,Vestland,60-74,2023-12-27,3,Individual,Full
6343,Cheryl Green,SE,Västra Götaland,45-59,2025-05-23,1,Individual,Full
6344,Mr Iain Morgan,FI,Varsinais-Suomi,30-44,2025-03-21,1,Individual,Full
6345,Dr Mathew Thomas,FI,Pohjois-Pohjanmaa,30-44,2025-11-19,1,Individual,Full
6346,Michael Fowler-McKenzie,DK,Syddanmark,45-59,2025-12-15,1,Individual,Full
6347,Yvonne Jarvis-Martin,SE,Västra Götaland,18-29,2023-07-22,1,Trust,Full
6348,Donald Davies,SE,Stockholm,18-29,2023-12-18,2,Individual,Full
6349,Cheryl Kaur,FI,Varsinais-Suomi,18-29,2024-12-06,1,Individual,Full
6350,Angela Smith,FI,Uusimaa,30-44,2024-05-16,2,Individual,Full
6351,Catherine Lee-Holt,NO,Rogaland,45-59,2024-11-22,2,Individual,Full
6352,Christian Peters,NO,Oslo,30-44,2022-06-21,1,Individual,Email only
6353,Kenneth Waters,DK,Syddanmark,30-44,2022-07-14,4,Individual,Full
6354,Gillian Middleton,FI,Uusimaa,45-59,2023-03-12,2,Individual,Full
6355,Reece Doherty-Shah,FI,Pohjois-Pohjanmaa,45-59,2023-09-20,3,Individual,Full
6356,Bryan Baker,FI,Pirkanmaa,45-59,2022-05-02,1,Individual,Full
6357,Lynda Sharpe,SE,Skåne,45-59,2022-10-19,1,Individual,Email only
6358,Daniel Walters,SE,Uppsala,60-74,2025-11-25,3,Individual,Full
6359,Kieran Murphy,FI,Pirkanmaa,60-74,2025-12-13,5,Individual,Email only
6360,Martyn Payne,SE,Uppsala,60-74,2023-12-20,1,Individual,Full
6361,Dr Tom Evans,FI,Pirkanmaa,30-44,2025-09-24,3,Individual,Full
6362,Dr Jasmine Reid,SE,Skåne,18-29,2025-10-31,2,Individual,Full
6363,Lynda Fowler-Winter,NO,Rogaland,30-44,2024-12-15,4,Individual,Full
6364,Dr Chloe Hardy,FI,Uusimaa,60-74,2025-12-16,1,Individual,Full
6365,Dr Sam Lloyd,SE,Uppsala,45-59,2022-10-12,3,Individual,Email only
6366,Mr Dean Moore,FI,Varsinais-Suomi,60-74,2022-05-26,6,Trust,Full
6367,Dr Damien Donnelly,DK,Hovedstaden,30-44,2024-12-16,4,Individual,Full
6368,Keith Davis,FI,Pohjois-Pohjanmaa,60-74,2023-12-27,1,Individual,Email only
6369,Marie Barrett-Watson,SE,Västra Götaland,45-59,2022-05-27,2,Corporate,Full
6370,Robert Thomas,DK,Syddanmark,30-44,2023-04-04,3,Individual,Full
6371,Alexander Mitchell,DK,Hovedstaden,18-29,2025-06-19,5,Individual,Full
6372,Dr Frank Smith,NO,Oslo,30-44,2024-05-17,6,Individual,Full
6373,Naomi Finch,SE,Skåne,60-74,2022-07-16,1,Individual,Full
6374,Dr Jean Ali,SE,Uppsala,18-29,2025-12-24,1,Individual,Email only
6375,Dr Shane Farrell,SE,Västra Götaland,30-44,2024-08-07,1,Trust,Full
6376,Diana Baxter,NO,Rogaland,45-59,2025-01-08,2,Individual,Full
6377,Paula Smith,DK,Hovedstaden,18-29,2023-12-05,5,Individual,Full
6378,Vincent Hall,SE,Skåne,45-59,2023-12-26,1,Individual,Full
6379,Laura Wilson,SE,Västra Götaland,45-59,2024-11-20,1,Individual,Email only
6380,Frederick Haynes,FI,Pirkanmaa,30-44,2025-03-13,6,Individual,Post only
6381,Ms Jayne Owen,FI,Pohjois-Pohjanmaa,30-44,2025-05-02,1,Individual,Full
6382,Jean Macdonald,FI,Varsinais-Suomi,45-59,2023-12-10,4,Corporate,Post only
6383,Steven Dawson,SE,Skåne,18-29,2022-06-27,1,Individual,Email only
6384,Mr Bryan Smith,NO,Trøndelag,30-44,2023-08-25,2,Corporate,Full
6385,Elizabeth Sykes-White,FI,Pohjois-Pohjanmaa,60-74,2025-12-01,2,Individual,Full
6386,Dr Kyle Cooper,NO,Rogaland,75+,2024-12-07,3,Individual,Full
6387,Denis Thompson,SE,Uppsala,45-59,2025-05-18,1,Individual,Email only
6388,Keith Norris,FI,Uusimaa,45-59,2025-10-31,2,Individual,Full
6389,Shirley Chapman,FI,Pohjois-Pohjanmaa,45-59,2025-01-10,2,Individual,Full
6390,Patrick Pollard,FI,Pohjois-Pohjanmaa,60-74,2025-12-25,4,Individual,Full
6391,Marian Stevens,SE,Skåne,45-59,2025-06-04,5,Individual,Full
6392,Matthew Williams,DK,Midtjylland,45-59,2022-09-28,3,Individual,Full
6393,Naomi Middleton,NO,Oslo,18-29,2025-12-09,3,Individual,Full
6394,Oliver Spencer-Barry,NO,Oslo,18-29,2025-08-16,5,Individual,Full
6395,Justin Reynolds,SE,Skåne,18-29,2022-02-15,1,Individual,Full
6396,Frank Bird,FI,Varsinais-Suomi,30-44,2025-01-14,2,Individual,Full
6397,Kevin Roberts-Harris,FI,Pohjois-Pohjanmaa,30-44,2022-03-13,2,Individual,Full
6398,Paige Ali,NO,Rogaland,45-59,2022-01-09,4,Individual,Full
6399,Iain Buckley,FI,Pohjois-Pohjanmaa,45-59,2025-05-25,1,Individual,Full
6400,Charlie White,NO,Rogaland,60-74,2022-12-28,1,Individual,Post only
6401,Gillian Fry,SE,Västra Götaland,30-44,2023-08-07,1,Individual,Full
6402,Jeffrey Lee,FI,Pohjois-Pohjanmaa,60-74,2024-10-19,2,Individual,Email only
6403,Donna Moore,SE,Västra Götaland,60-74,2025-08-10,4,Individual,Full
6404,Abigail Howard-Sutton,SE,Skåne,30-44,2022-12-01,1,Individual,Full
6405,Suzanne Gray,SE,Stockholm,30-44,2025-11-13,1,Individual,Post only
6406,Donald Swift,NO,Vestland,30-44,2022-12-07,5,Individual,Email only
6407,Carl Bennett,NO,Oslo,60-74,2025-11-03,1,Individual,Full
6408,Phillip Gould,SE,Västra Götaland,75+,2025-08-01,2,Corporate,Full
6409,Bethan Robinson,NO,Rogaland,60-74,2024-04-29,2,Individual,Email only
6410,Clare Hobbs-Mistry,FI,Uusimaa,18-29,2024-03-20,2,Individual,Full
6411,Victor Morgan,FI,Varsinais-Suomi,45-59,2025-12-29,2,Individual,Email only
6412,Malcolm Cox,FI,Pirkanmaa,30-44,2025-05-08,1,Individual,Full
6413,Graham Noble,FI,Pirkanmaa,60-74,2023-01-12,4,Individual,Email only
6414,Ms Jasmine Stevenson,SE,Stockholm,30-44,2025-12-30,4,Individual,Post only
6415,Derek Tomlinson,SE,Stockholm,60-74,2025-12-03,3,Individual,Full
6416,Joel McLean,FI,Uusimaa,60-74,2022-11-22,2,Individual,Full
6417,Eric Smith,FI,Pohjois-Pohjanmaa,45-59,2022-04-06,5,Individual,Email only
6418,Phillip Hodgson,FI,Pirkanmaa,45-59,2024-01-11,2,Individual,Full
6419,Miss Beverley Stephens,SE,Skåne,45-59,2023-09-22,2,Individual,Full
6420,Lindsey Kelly-Davidson,FI,Pohjois-Pohjanmaa,45-59,2024-12-13,3,Individual,Full
6421,Maria Jarvis,FI,Varsinais-Suomi,30-44,2023-08-21,4,Individual,Full
6422,Ms Barbara Parsons,SE,Västra Götaland,30-44,2025-12-23,1,Individual,Full
6423,Francesca Pearce-Young,FI,Pirkanmaa,18-29,2023-07-16,3,Individual,Full
6424,Susan Kennedy,FI,Uusimaa,45-59,2022-08-11,1,Individual,Email only
6425,Scott Williams,SE,Uppsala,30-44,2022-12-15,1,Corporate,Email only
6426,Dr Iain Murphy,FI,Pohjois-Pohjanmaa,45-59,2023-08-21,1,Individual,Post only
6427,Scott Simmons,DK,Midtjylland,60-74,2025-10-28,5,Individual,Full
6428,Yvonne Brady,SE,Skåne,75+,2024-02-08,1,Individual,Full
6429,Jenna Simmons,NO,Oslo,60-74,2022-02-25,3,Individual,Full
6430,Leonard Cunningham-Allen,DK,Sjælland,60-74,2024-06-06,1,Individual,Full
6431,Hazel Parkinson,DK,Midtjylland,60-74,2024-04-26,4,Individual,Full
6432,Mrs Carol Murray,SE,Skåne,30-44,2024-09-23,1,Individual,Email only
6433,Martin Newton,SE,Skåne,30-44,2025-05-22,6,Individual,Full
6434,Ms Sandra Murphy,SE,Skåne,30-44,2025-04-26,2,Individual,Full
6435,Neil Jones,FI,Uusimaa,45-59,2022-06-01,2,Individual,Email only
6436,Miss Marion Gibbs,DK,Syddanmark,30-44,2022-12-16,6,Individual,Full
6437,Charlie Williams,NO,Trøndelag,30-44,2023-12-05,1,Individual,Email only
6438,Reece Thomas,FI,Pirkanmaa,45-59,2023-11-22,2,Individual,Full
6439,Caroline Wood-Patel,SE,Västra Götaland,45-59,2022-11-12,1,Individual,Full
6440,Jordan Coleman-Baker,NO,Trøndelag,45-59,2025-06-30,1,Individual,Post only
6441,Pamela Marshall,FI,Pirkanmaa,30-44,2022-12-19,2,Individual,Full
6442,Dr Jenna Davison,FI,Uusimaa,18-29,2022-09-05,2,Individual,Full
6443,Mr Mohammed Holland,DK,Hovedstaden,30-44,2024-08-17,3,Individual,Full
6444,Mrs Hilary King,FI,Pirkanmaa,60-74,2024-12-26,2,Corporate,Full
6445,Carol Chapman,NO,Vestland,45-59,2022-06-29,2,Individual,Full
6446,Ms Jenna Lee,NO,Oslo,75+,2025-09-01,1,Individual,Post only
6447,Kevin Harrison,SE,Stockholm,75+,2024-12-03,1,Individual,Full
6448,Ms Clare Wood,SE,Uppsala,75+,2024-12-01,2,Individual,Full
6449,Kelly Brown,NO,Oslo,45-59,2025-08-12,4,Individual,Email only
6450,Rosemary Noble,FI,Pohjois-Pohjanmaa,45-59,2022-02-14,5,Individual,Full
6451,Charles Smith,FI,Uusimaa,18-29,2025-06-17,1,Individual,Email only
6452,Emily Hall,FI,Varsinais-Suomi,45-59,2024-06-24,4,Individual,Email only
6453,Patricia Cox,FI,Uusimaa,60-74,2024-11-16,2,Individual,Full
6454,Martyn Brown-Taylor,SE,Uppsala,60-74,2023-11-22,2,Individual,Full
6455,Mr Adrian Wallis,FI,Pirkanmaa,18-29,2023-10-13,2,Individual,Full
6456,Dr Derek Burton,DK,Midtjylland,30-44,2024-10-26,3,Individual,Full
6457,Terry Hicks,NO,Vestland,30-44,2024-09-25,1,Individual,Email only
6458,Dr Roy Daniels,DK,Syddanmark,60-74,2023-09-26,1,Individual,Email only
6459,Leslie Wood-Kay,NO,Rogaland,75+,2022-10-19,2,Individual,Email only
6460,Mr Conor Brown,FI,Pohjois-Pohjanmaa,60-74,2025-11-05,2,Individual,Email only
6461,Kathryn Young,DK,Hovedstaden,18-29,2023-04-02,1,Individual,Email only
6462,Mr Martin Adams,,Oslo,30-44,2023-10-04,2,Individual,Email only
6463,Gerald Hall,FI,Uusimaa,60-74,2025-10-11,2,Individual,Full
